Ausgangsposition;Position_nach_Kippen;Kippkraft
1;17;1.02797
1;17;0.14685
1;17;0.1869
1;17;0.25699
1;21;0.22703
1;21;0.17838
2;18;0.0
2;14;0.14547
2;14;0.18514
2;14;0.25456
2;10;0.22524
2;10;0.17698
3;19;1.10422
3;23;0.14404
3;23;0.18036
3;23;0.25206
3;19;0.22341
3;19;0.17554
4;20;0.0
4;12;0.14547
4;12;0.18514
4;12;0.25456
4;16;0.22524
4;16;0.17698
5;17;1.10788
5;21;0.17554
5;21;0.22341
5;17;0.25206
5;17;0.18036
5;17;0.14404
6;18;0.0
6;16;0.17698
6;16;0.22524
6;12;0.25456
6;12;0.18514
6;12;0.14547
7;19;1.24865
7;19;0.17838
7;19;0.22703
7;23;0.25699
7;23;0.1869
7;23;0.14685
8;20;0.0
8;10;0.17698
8;10;0.22524
8;14;0.25456
8;14;0.18514
8;14;0.14547
9;7;0.0
9;7;0.0
9;1;0.0
9;1;0.0
9;10;0.17838
9;10;0.22703
9;12;0.25699
9;12;0.1869
10;2;0.22524
10;2;0.17698
10;8;0.16005
10;8;0.2037
10;8;0.28008
10;9;1.24865
11;3;0.0
11;5;0.0
11;5;0.0
11;5;0.0
11;12;0.14404
11;12;0.18036
11;12;0.25206
11;10;0.22341
12;6;0.25456
12;6;0.18514
12;6;0.14547
12;4;0.16085
12;4;0.20472
12;9;1.02797
13;1;0.0
13;7;0.0
13;7;0.0
13;7;0.0
13;14;0.14685
13;14;0.1869
13;14;0.25699
13;16;0.22703
14;8;0.25456
14;8;0.18514
14;8;0.14547
14;2;0.16085
14;2;0.20472
14;13;1.02797
15;5;0.0
15;5;0.0
15;3;0.0
15;3;0.0
15;16;0.17554
15;16;0.22341
15;14;0.25206
15;14;0.18036
16;4;0.22524
16;4;0.17698
16;6;0.16005
16;6;0.2037
16;6;0.28008
16;13;1.24865
17;5;0.25206
17;5;0.18332
17;5;0.14404
17;1;0.16342
17;1;0.20799
17;1;1.02797
18;6;0.0
18;6;0.0
18;2;0.0
18;2;0.0
18;19;0.17698
18;19;0.22524
18;17;0.25456
18;17;0.18514
19;3;0.22341
19;3;0.17554
19;7;0.16234
19;7;0.20661
19;7;0.28409
19;7;1.24865
20;4;0.0
20;8;0.0
20;8;0.0
20;8;0.0
20;17;0.14547
20;17;0.18514
20;17;0.25456
20;19;0.22524
21;1;0.22703
21;1;0.17838
21;5;0.15775
21;5;0.20077
21;5;0.27605
21;1;1.24865
22;2;0.0
22;6;0.0
22;6;0.0
22;6;0.0
22;23;0.14547
22;23;0.18514
22;23;0.25456
22;21;0.22524
23;7;0.25699
23;7;0.1869
23;7;0.14685
23;3;0.15827
23;3;0.20143
23;7;1.02797
24;8;0.0
24;8;0.0
24;4;0.0
24;4;0.0
24;21;0.17698
24;21;0.22524
24;23;0.25456
24;23;0.18514
